order_id,restaurant_id,order_date,items_count,total_price_usd,payment_type,status
c2640870-cf24-4d9f-8244-f6bb7005cfd9,832097cd-5700-4a1c-96fd-3391cdfea2f1,2024-01-11T08:57,8,163.60,Card,Cancelled
b23e48b2-bf57-4359-acaa-9e237c761b4b,96285c17-d68e-498b-9ec6-dea4b5151e7d,2024-10-18T08:57,1,23.34,Cash,Pending
47a142e8-6cdc-48a5-b6d6-b5610fb3c51a,d5bbfcb3-e1f3-48af-937a-6a0c92262fd8,2025-05-19T08:57,6,66.48,Cash,Pending
81a89090-2529-4544-99d2-8d1217608d28,4a3cd611-02a9-4463-83e3-80dbc76a2369,2025-04-20T08:57,9,146.70,Online,Completed
b834a3ad-57a0-4660-8121-bae36896987f,36e722d4-2185-4803-8fa3-a1b00076c756,2024-08-08T08:57,2,33.94,Online,Cancelled
2431a1aa-2590-4adb-ba26-8026fc3a8224,919de531-031b-4706-955a-a1d11fc3d898,2025-04-23T08:57,3,46.89,Card,Cancelled
8d433715-bf1d-4ee4-9b17-4338e4f3074e,2e3a0083-9eb2-44c0-8722-601a5fbea885,2025-07-15T08:57,6,81.96,Online,Cancelled
5477245d-95f2-4114-9a1f-64de1f70aad9,3825b308-f93f-4c8f-b7ed-e2dba8ae1920,2025-08-03T08:57,8,93.68,Online,Completed
d1905730-a959-49eb-bad4-c7803b0591c2,8da2dfe7-1cd9-41a3-a8f9-1752f23a877d,2024-12-24T08:57,3,51.06,Card,Cancelled
56abb075-6225-4dc0-aea8-e8f9c4f560eb,908e593b-b660-4850-8b44-a4c80e9bc400,2024-02-14T08:57,1,20.33,Card,Cancelled
9a91372c-2664-454c-af6f-67a90acdf181,d3b72406-e3a3-4280-b5f8-ccfb4c788205,2023-12-03T08:57,5,54.95,Cash,Pending
7fc8b019-d358-4617-97f3-20053f64a123,e714bbea-625c-4d85-ad54-4ffea542ba14,2023-11-04T08:57,8,49.60,Online,Pending
b5bb0fe4-46ee-4fa7-a7b0-74262bdca4cf,3825b308-f93f-4c8f-b7ed-e2dba8ae1920,2025-06-01T08:57,3,22.80,Online,Cancelled
63d1cf53-f481-46ab-b5ab-2d8d2c846630,61a9cc71-2164-4a6d-bad0-d33bff72c9b0,2024-01-19T08:57,7,183.75,Online,Completed
1397d616-bfca-4c6f-a867-9aeafe9f3a3b,687ae254-4739-411d-8552-e5cd9d48908d,2023-11-11T08:57,9,218.52,Card,Completed
e21bd63c-aa90-47be-a3fa-4848674f88c3,d5bbfcb3-e1f3-48af-937a-6a0c92262fd8,2024-12-05T08:57,1,17.39,Card,Cancelled
8edc7fa3-af1e-4f39-9f73-525ce69c315b,a483d2b5-5568-46d2-a485-3a9710535f08,2024-12-08T08:57,9,203.58,Cash,Pending
753f4b04-3df4-4e32-b2fd-a647fdd6a4d2,32bcd4b6-76fa-44b4-b0f6-015b61c9bf19,2023-12-16T08:57,7,173.39,Cash,Pending
246e5959-92cd-419e-8cd7-0df470ebc971,61a9cc71-2164-4a6d-bad0-d33bff72c9b0,2023-10-04T08:57,1,10.87,Cash,Completed
0cfc63ed-cd4e-4fde-a42e-fb9dca2795d1,8da2dfe7-1cd9-41a3-a8f9-1752f23a877d,2024-03-29T08:57,6,53.16,Cash,Cancelled
d90856a2-8aca-4752-b1d2-4374b7b9ba32,7f3a4870-cc51-4333-8fcb-bdf3cea07450,2023-11-01T08:57,7,68.18,Online,Completed
ae849b31-63a9-49df-b4a4-e562be0a1a7b,b43a8dc1-a3cd-45a5-b1c8-79fba3dde4b1,2025-01-20T08:57,2,45.60,Online,Cancelled
d031c4e0-b301-4bd0-a1c7-c2cea85e6867,16547bee-9860-474d-af0d-29bf61f89944,2023-12-01T08:57,4,77.44,Card,Pending
df6b1fe3-8c94-41ab-9371-b45053d83351,a59e7306-2204-413e-aa6a-dccad546a5e0,2024-03-23T08:57,1,21.74,Online,Cancelled
3375ae4f-6c7d-4923-aa82-6d5c6b5d71ce,92fb180c-8c28-4b9e-9f58-5f7d411146fd,2023-09-28T08:57,1,7.41,Cash,Cancelled
fb6e1c8f-f2bc-4be2-9591-1a8d10856e05,92fb180c-8c28-4b9e-9f58-5f7d411146fd,2025-09-15T08:57,3,63.24,Online,Pending
6efa6b6d-4302-4c7d-a7ee-057a0d578623,dee758a7-6029-41e9-bc24-c63cbb5a47b8,2024-12-22T08:57,6,119.64,Card,Pending
8a1e4d9d-eda1-476e-819f-babf7c277283,80b61d47-19ef-4737-9657-b9ba85231538,2024-03-03T08:57,8,186.08,Online,Completed
aaad5d19-1ba7-4c6a-bbba-35d2c0a62c51,66d66d2f-b709-4e74-ac58-89b7d91fe24b,2024-04-03T08:57,1,14.56,Card,Completed
